Date,Volume
2022-02-21 00:00:00+00:00,21537434521
2022-02-22 00:00:00+00:00,18760868293
2022-02-23 00:00:00+00:00,16130690539
2022-02-24 00:00:00+00:00,34688265546
2022-02-25 00:00:00+00:00,19799061678
2022-02-26 00:00:00+00:00,13028192715
2022-02-27 00:00:00+00:00,17536568231
2022-02-28 00:00:00+00:00,26590523798
2022-03-01 00:00:00+00:00,24355063457
2022-03-02 00:00:00+00:00,21783938704
2022-03-03 00:00:00+00:00,18701693099
2022-03-04 00:00:00+00:00,21558329715
2022-03-05 00:00:00+00:00,12833810568
2022-03-06 00:00:00+00:00,14945204003
2022-03-07 00:00:00+00:00,21768204282
2022-03-08 00:00:00+00:00,19678849113
2022-03-09 00:00:00+00:00,24485665609
2022-03-10 00:00:00+00:00,23719058690
2022-03-11 00:00:00+00:00,20235158892
2022-03-12 00:00:00+00:00,11210218380
2022-03-13 00:00:00+00:00,13257682236
2022-03-14 00:00:00+00:00,18695324858
2022-03-15 00:00:00+00:00,18348307679
2022-03-16 00:00:00+00:00,30148275138
2022-03-17 00:00:00+00:00,16726460466
2022-03-18 00:00:00+00:00,26114539831
2022-03-19 00:00:00+00:00,14919094838
2022-03-20 00:00:00+00:00,15295266940
2022-03-21 00:00:00+00:00,18691714320
2022-03-22 00:00:00+00:00,24125074956
2022-03-23 00:00:00+00:00,19115294368
2022-03-24 00:00:00+00:00,23527639073
2022-03-25 00:00:00+00:00,23179991242
2022-03-26 00:00:00+00:00,12850496649
2022-03-27 00:00:00+00:00,21377522767
2022-03-28 00:00:00+00:00,27758630397
2022-03-29 00:00:00+00:00,23980100408
2022-03-30 00:00:00+00:00,22328219124
2022-03-31 00:00:00+00:00,25351207304
2022-04-01 00:00:00+00:00,29100924401
2022-04-02 00:00:00+00:00,22369593122
2022-04-03 00:00:00+00:00,19393421844
2022-04-04 00:00:00+00:00,24784921384
2022-04-05 00:00:00+00:00,22666436686
2022-04-06 00:00:00+00:00,30141896180
2022-04-07 00:00:00+00:00,19972316252
2022-04-08 00:00:00+00:00,20878533139
2022-04-09 00:00:00+00:00,12313221714
2022-04-10 00:00:00+00:00,13549103830
2022-04-11 00:00:00+00:00,26069492504
2022-04-12 00:00:00+00:00,23835532315
2022-04-13 00:00:00+00:00,21107988018
2022-04-14 00:00:00+00:00,18628763716
2022-04-15 00:00:00+00:00,16659159179
2022-04-16 00:00:00+00:00,12889092986
2022-04-17 00:00:00+00:00,14619695338
2022-04-18 00:00:00+00:00,25908735291
2022-04-19 00:00:00+00:00,19444552709
2022-04-20 00:00:00+00:00,21289926447
2022-04-21 00:00:00+00:00,27158624057
2022-04-22 00:00:00+00:00,21816841552
2022-04-23 00:00:00+00:00,12569049436
2022-04-24 00:00:00+00:00,14003679517
2022-04-25 00:00:00+00:00,27826883459
2022-04-26 00:00:00+00:00,27475822595
2022-04-27 00:00:00+00:00,24706089388
2022-04-28 00:00:00+00:00,27199247261
2022-04-29 00:00:00+00:00,24575945950
2022-04-30 00:00:00+00:00,19004834628
2022-05-01 00:00:00+00:00,21483611965
2022-05-02 00:00:00+00:00,26338805316
2022-05-03 00:00:00+00:00,21864014020
2022-05-04 00:00:00+00:00,29131210209
2022-05-05 00:00:00+00:00,34868693841
2022-05-06 00:00:00+00:00,30629762771
2022-05-07 00:00:00+00:00,19754372703
2022-05-08 00:00:00+00:00,29826444110
2022-05-09 00:00:00+00:00,51357167970
2022-05-10 00:00:00+00:00,48598442803
2022-05-11 00:00:00+00:00,57537117745
2022-05-12 00:00:00+00:00,54891129547
2022-05-13 00:00:00+00:00,34938822070
2022-05-14 00:00:00+00:00,23301967122
2022-05-15 00:00:00+00:00,21077194085
2022-05-16 00:00:00+00:00,26461057266
2022-05-17 00:00:00+00:00,23304983786
2022-05-18 00:00:00+00:00,25343726586
2022-05-19 00:00:00+00:00,27098598596
2022-05-20 00:00:00+00:00,24614696279
2022-05-21 00:00:00+00:00,13832603911
2022-05-22 00:00:00+00:00,17300812983
2022-05-23 00:00:00+00:00,25052581162
2022-05-24 00:00:00+00:00,21222458322
2022-05-25 00:00:00+00:00,21869378643
2022-05-26 00:00:00+00:00,29145785753
2022-05-27 00:00:00+00:00,28966436956
2022-05-28 00:00:00+00:00,28125183001
2022-05-29 00:00:00+00:00,14332275988
2022-05-30 00:00:00+00:00,31060212243
2022-05-31 00:00:00+00:00,26597410867
2022-06-01 00:00:00+00:00,32956083470
2022-06-02 00:00:00+00:00,23121926259
2022-06-03 00:00:00+00:00,20959729340
2022-06-04 00:00:00+00:00,13282922396
2022-06-05 00:00:00+00:00,13821212466
2022-06-06 00:00:00+00:00,25509756774
2022-06-07 00:00:00+00:00,32389888761
2022-06-08 00:00:00+00:00,24115532047
2022-06-09 00:00:00+00:00,17363885786
2022-06-10 00:00:00+00:00,24252928554
2022-06-11 00:00:00+00:00,22122011472
2022-06-12 00:00:00+00:00,27829290909
2022-06-13 00:00:00+00:00,56170749115
2022-06-14 00:00:00+00:00,42387537019
2022-06-15 00:00:00+00:00,45106973954
2022-06-16 00:00:00+00:00,25248604832
2022-06-17 00:00:00+00:00,22203301630
2022-06-18 00:00:00+00:00,34362122911
2022-06-19 00:00:00+00:00,28892579769
2022-06-20 00:00:00+00:00,25155875015
2022-06-21 00:00:00+00:00,23621732067
2022-06-22 00:00:00+00:00,23323689405
2022-06-23 00:00:00+00:00,21360504776
2022-06-24 00:00:00+00:00,20349604469
2022-06-25 00:00:00+00:00,14980251539
2022-06-26 00:00:00+00:00,14676892968
2022-06-27 00:00:00+00:00,17091968940
2022-06-28 00:00:00+00:00,17543378547
2022-06-29 00:00:00+00:00,19418504265
2022-06-30 00:00:00+00:00,21600838484
2022-07-01 00:00:00+00:00,25417227850
2022-07-02 00:00:00+00:00,14952846423
2022-07-03 00:00:00+00:00,13544408199
2022-07-04 00:00:00+00:00,17826740950
2022-07-05 00:00:00+00:00,22354180513
2022-07-06 00:00:00+00:00,20632733019
2022-07-07 00:00:00+00:00,21459935026
2022-07-08 00:00:00+00:00,41462271475
2022-07-09 00:00:00+00:00,24640373177
2022-07-10 00:00:00+00:00,23873505708
2022-07-11 00:00:00+00:00,20295434576
2022-07-12 00:00:00+00:00,21729882335
2022-07-13 00:00:00+00:00,27850671520
2022-07-14 00:00:00+00:00,26314306555
2022-07-15 00:00:00+00:00,21852026360
2022-07-16 00:00:00+00:00,20501048529
2022-07-17 00:00:00+00:00,19282969386
2022-07-18 00:00:00+00:00,33454118930
2022-07-19 00:00:00+00:00,40623852107
2022-07-20 00:00:00+00:00,35873321805
2022-07-21 00:00:00+00:00,28036526955
2022-07-22 00:00:00+00:00,26174815706
2022-07-23 00:00:00+00:00,20010663165
2022-07-24 00:00:00+00:00,19661729613
2022-07-25 00:00:00+00:00,29512798441
2022-07-26 00:00:00+00:00,23783697638
2022-07-27 00:00:00+00:00,26112943449
2022-07-28 00:00:00+00:00,33034233954
2022-07-29 00:00:00+00:00,29476172015
2022-07-30 00:00:00+00:00,23119679842
2022-07-31 00:00:00+00:00,19356718678
2022-08-01 00:00:00+00:00,21092732915
2022-08-02 00:00:00+00:00,23378775080
2022-08-03 00:00:00+00:00,21657587691
2022-08-04 00:00:00+00:00,20660836340
2022-08-05 00:00:00+00:00,23923176139
2022-08-06 00:00:00+00:00,13235256032
2022-08-07 00:00:00+00:00,13171966539
2022-08-08 00:00:00+00:00,23644777433
2022-08-09 00:00:00+00:00,19513416467
2022-08-10 00:00:00+00:00,26892214708
2022-08-11 00:00:00+00:00,30444838282
2022-08-12 00:00:00+00:00,22456253070
2022-08-13 00:00:00+00:00,18932493340
2022-08-14 00:00:00+00:00,18960502647
2022-08-15 00:00:00+00:00,29132802114
2022-08-16 00:00:00+00:00,22946414248
2022-08-17 00:00:00+00:00,25678660187
2022-08-18 00:00:00+00:00,19904631902
2022-08-19 00:00:00+00:00,34247027062
2022-08-20 00:00:00+00:00,23327834906
2022-08-21 00:00:00+00:00,19529374118
2022-08-22 00:00:00+00:00,26914718954
2022-08-23 00:00:00+00:00,26946870033
2022-08-24 00:00:00+00:00,27108817156
2022-08-25 00:00:00+00:00,26244305429
2022-08-26 00:00:00+00:00,36078085620
2022-08-27 00:00:00+00:00,25632348712
2022-08-28 00:00:00+00:00,20844149517
2022-08-29 00:00:00+00:00,27844201898
2022-08-30 00:00:00+00:00,29578619533
2022-08-31 00:00:00+00:00,28649786053
2022-09-01 00:00:00+00:00,26138363223
2022-09-02 00:00:00+00:00,25293319349
2022-09-03 00:00:00+00:00,20507226799
2022-09-04 00:00:00+00:00,22004949408
2022-09-05 00:00:00+00:00,24913471771
2022-09-06 00:00:00+00:00,37708291778
2022-09-07 00:00:00+00:00,30591175051
2022-09-08 00:00:00+00:00,27946126747
2022-09-09 00:00:00+00:00,41794886385
2022-09-10 00:00:00+00:00,31837915228
2022-09-11 00:00:00+00:00,29684839675
2022-09-12 00:00:00+00:00,42955036171
2022-09-13 00:00:00+00:00,44416879693
2022-09-14 00:00:00+00:00,32805738029
2022-09-15 00:00:00+00:00,31775649014
2022-09-16 00:00:00+00:00,26390445097
2022-09-17 00:00:00+00:00,21864721132
2022-09-18 00:00:00+00:00,27334210903
2022-09-19 00:00:00+00:00,35104776573
2022-09-20 00:00:00+00:00,32327709976
2022-09-21 00:00:00+00:00,41185236370
2022-09-22 00:00:00+00:00,36523625626
2022-09-23 00:00:00+00:00,35865451235
2022-09-24 00:00:00+00:00,24082200080
2022-09-25 00:00:00+00:00,21643849562
2022-09-26 00:00:00+00:00,41005536327
2022-09-27 00:00:00+00:00,54604161728
2022-09-28 00:00:00+00:00,48997864271
2022-09-29 00:00:00+00:00,36732358392
2022-09-30 00:00:00+00:00,39360265674
2022-10-01 00:00:00+00:00,16788823274
2022-10-02 00:00:00+00:00,18648243203
2022-10-03 00:00:00+00:00,26886281535
2022-10-04 00:00:00+00:00,31339642730
2022-10-05 00:00:00+00:00,29254577536
2022-10-06 00:00:00+00:00,31099447467
2022-10-07 00:00:00+00:00,26344449909
2022-10-08 00:00:00+00:00,14826522822
2022-10-09 00:00:00+00:00,15205260350
2022-10-10 00:00:00+00:00,24752865680
2022-10-11 00:00:00+00:00,26187100091
2022-10-12 00:00:00+00:00,22476314209
2022-10-13 00:00:00+00:00,39127041031
2022-10-14 00:00:00+00:00,34420050339
2022-10-15 00:00:00+00:00,14494236753
2022-10-16 00:00:00+00:00,16001986840
2022-10-17 00:00:00+00:00,24200516991
2022-10-18 00:00:00+00:00,26960072803
2022-10-19 00:00:00+00:00,20010262686
2022-10-20 00:00:00+00:00,21826458135
2022-10-21 00:00:00+00:00,28713615883
2022-10-22 00:00:00+00:00,14246052889
2022-10-23 00:00:00+00:00,19520672506
2022-10-24 00:00:00+00:00,26713333929
2022-10-25 00:00:00+00:00,41673697660
2022-10-26 00:00:00+00:00,50600809280
2022-10-27 00:00:00+00:00,42908996836
2022-10-28 00:00:00+00:00,37882398045
2022-10-29 00:00:00+00:00,34761137575
2022-10-30 00:00:00+00:00,27155115347
2022-10-31 00:00:00+00:00,39823953438
2022-11-01 00:00:00+00:00,34657407433
2022-11-02 00:00:00+00:00,48799969939
2022-11-03 00:00:00+00:00,38698895906
2022-11-04 00:00:00+00:00,56302948595
2022-11-05 00:00:00+00:00,33263950933
2022-11-06 00:00:00+00:00,30961844983
2022-11-07 00:00:00+00:00,46477760394
2022-11-08 00:00:00+00:00,103005470875
2022-11-09 00:00:00+00:00,90519487559
2022-11-10 00:00:00+00:00,71146772023
2022-11-11 00:00:00+00:00,47242357065
2022-11-12 00:00:00+00:00,25104710092
2022-11-13 00:00:00+00:00,23065088962
2022-11-14 00:00:00+00:00,42230373815
2022-11-15 00:00:00+00:00,30808600191
2022-11-16 00:00:00+00:00,28474599040
2022-11-17 00:00:00+00:00,23500266667
2022-11-18 00:00:00+00:00,22590373708
2022-11-19 00:00:00+00:00,13547733784
2022-11-20 00:00:00+00:00,17932842350
2022-11-21 00:00:00+00:00,31648838345
2022-11-22 00:00:00+00:00,25834472358
2022-11-23 00:00:00+00:00,27291267375
2022-11-24 00:00:00+00:00,21572185547
2022-11-25 00:00:00+00:00,15445516823
2022-11-26 00:00:00+00:00,14887123249
2022-11-27 00:00:00+00:00,16960053764
2022-11-28 00:00:00+00:00,23196609166
2022-11-29 00:00:00+00:00,19739332801
2022-11-30 00:00:00+00:00,24449713759
2022-12-01 00:00:00+00:00,18676962534
2022-12-02 00:00:00+00:00,15893381214
2022-12-03 00:00:00+00:00,13185182202
2022-12-04 00:00:00+00:00,13682726635
2022-12-05 00:00:00+00:00,18215004658
2022-12-06 00:00:00+00:00,16394049724
2022-12-07 00:00:00+00:00,16114313598
2022-12-08 00:00:00+00:00,16754559316
2022-12-09 00:00:00+00:00,16574680796
2022-12-10 00:00:00+00:00,10366535813
2022-12-11 00:00:00+00:00,11542082528
2022-12-12 00:00:00+00:00,15989290054
2022-12-13 00:00:00+00:00,21558213146
2022-12-14 00:00:00+00:00,20561232652
2022-12-15 00:00:00+00:00,17196990223
2022-12-16 00:00:00+00:00,19782363895
2022-12-17 00:00:00+00:00,11910065381
2022-12-18 00:00:00+00:00,8984276699
2022-12-19 00:00:00+00:00,14167898797
2022-12-20 00:00:00+00:00,18642457778
2022-12-21 00:00:00+00:00,12323986357
2022-12-22 00:00:00+00:00,13658409330
2022-12-23 00:00:00+00:00,12718216140
2022-12-24 00:00:00+00:00,8084822582
2022-12-25 00:00:00+00:00,9669328506
2022-12-26 00:00:00+00:00,9837943452
2022-12-27 00:00:00+00:00,13094912972
2022-12-28 00:00:00+00:00,14138380496
2022-12-29 00:00:00+00:00,12005068322
2022-12-30 00:00:00+00:00,13161327492
2022-12-31 00:00:00+00:00,9290120459
2023-01-01 00:00:00+00:00,7641860844
2023-01-02 00:00:00+00:00,10028862099
2023-01-03 00:00:00+00:00,11618205460
2023-01-04 00:00:00+00:00,15279712359
2023-01-05 00:00:00+00:00,11497973681
2023-01-06 00:00:00+00:00,11919018204
2023-01-07 00:00:00+00:00,6379533846
2023-01-08 00:00:00+00:00,8060074304
2023-01-09 00:00:00+00:00,15286476279
2023-01-10 00:00:00+00:00,13006959012
2023-01-11 00:00:00+00:00,15110303169
2023-01-12 00:00:00+00:00,28625054903
2023-01-13 00:00:00+00:00,23894238152
2023-01-14 00:00:00+00:00,31859865882
2023-01-15 00:00:00+00:00,15788085106
2023-01-16 00:00:00+00:00,21946133764
2023-01-17 00:00:00+00:00,20352286455
2023-01-18 00:00:00+00:00,24302066122
2023-01-19 00:00:00+00:00,17069163987
2023-01-20 00:00:00+00:00,23240111159
2023-01-21 00:00:00+00:00,26186368995
2023-01-22 00:00:00+00:00,19946651396
2023-01-23 00:00:00+00:00,21421912348
2023-01-24 00:00:00+00:00,21412478348
2023-01-25 00:00:00+00:00,24725378618
2023-01-26 00:00:00+00:00,21230975996
2023-01-27 00:00:00+00:00,20501840981
2023-01-28 00:00:00+00:00,11883470410
2023-01-29 00:00:00+00:00,22115092151
2023-01-30 00:00:00+00:00,22029186900
2023-01-31 00:00:00+00:00,18554593899
2023-02-01 00:00:00+00:00,21539977956
2023-02-02 00:00:00+00:00,26239252108
2023-02-03 00:00:00+00:00,22479296866
2023-02-04 00:00:00+00:00,12973830331
2023-02-05 00:00:00+00:00,16244539834
2023-02-06 00:00:00+00:00,19810945615
2023-02-07 00:00:00+00:00,22555244077
2023-02-08 00:00:00+00:00,21018858876
2023-02-09 00:00:00+00:00,26884717058
2023-02-10 00:00:00+00:00,22445616167
2023-02-11 00:00:00+00:00,13557872198
2023-02-12 00:00:00+00:00,14787440960
2023-02-13 00:00:00+00:00,19685651378
2023-02-14 00:00:00+00:00,22007706757
2023-02-15 00:00:00+00:00,26986031932
2023-02-16 00:00:00+00:00,32834211571
2023-02-17 00:00:00+00:00,34339467134
2023-02-18 00:00:00+00:00,16294776289
2023-02-19 00:00:00+00:00,21244547111
